Date,Open,High,Low,Close,Volume
2025-06-04,756.39,772.62,756.0,765.84,3135930
2025-06-05,769.5,770.0,753.05,765.68,3638629
2025-06-06,768.48,772.6,765.2,769.88,2069864
2025-06-09,771.95,779.29,767.5929,773.71,2262158
2025-06-10,777.09,808.63,777.0,807.19,4744424
2025-06-11,809.65,820.7178,805.0272,808.61,3125380
2025-06-12,810.33,818.555,806.35,812.03,2271087
2025-06-13,810.335,825.0,808.1001,819.36,2754603
2025-06-16,821.68,825.0,805.7575,807.58,2821770
2025-06-17,805.16,805.16,788.935,791.24,2875634
2025-06-18,789.95,790.625,779.44,785.03,2442938
2025-06-20,786.0,786.0,755.56,762.73,6210647
2025-06-23,770.53,793.21,763.83,770.64,3951536
2025-06-24,772.89,784.44,763.02,778.08,2788473
2025-06-25,779.0,798.95,773.595,792.3,3023134
2025-06-26,793.95,798.8,788.25,795.12,3118189
2025-06-27,795.8,802.5,774.64,775.45,4115147
2025-06-30,778.54,785.0,774.0,779.53,3041492
2025-07-01,779.53,790.0,773.0,775.9,2733978
2025-07-02,776.5,779.84,768.0,779.28,1978285
2025-07-03,780.46,783.55,773.0,780.67,1450772
2025-07-07,780.68,781.1481,762.03,772.87,2576881
2025-07-08,774.85,792.69,768.8001,777.66,3301776
2025-07-09,783.8,794.0,781.99,786.92,2703085
2025-07-10,789.67,799.4922,786.43,790.65,3131256
2025-07-11,786.35,795.73,777.2,793.01,2852544
2025-07-14,790.0,800.88,787.36,799.34,2401422
2025-07-15,801.67,805.42,764.38,771.75,4174059
2025-07-16,773.5,796.0354,772.16,789.8,3255436
2025-07-17,786.79,790.0,760.0201,761.5,4107259
2025-07-18,763.86,775.96,760.5,771.71,3357745
2025-07-21,768.17,772.0,760.5,762.18,3058007
2025-07-22,763.34,778.29,762.5,776.44,2496628
2025-07-23,780.0,800.09,777.08,798.89,2683557
2025-07-24,801.36,810.14,797.65,805.43,2786773
2025-07-25,809.0,815.19,802.37,812.69,2976879
2025-07-28,812.65,820.22,802.5,808.11,2587722
2025-07-29,774.5,779.49,755.18,762.95,7100711
2025-07-30,774.0,778.1,758.41,760.08,4338667
2025-07-31,747.3,766.4468,735.44,740.07,5810267
2025-08-01,746.82,768.0,745.99,762.33,4859455
2025-08-04,759.97,774.48,752.57,769.0,3353421
2025-08-05,765.57,769.94,759.5197,765.95,3615197
2025-08-06,756.56,763.0,740.19,746.37,4752116
2025-08-07,675.66,678.2868,633.2,640.86,26101620
2025-08-08,655.0,656.18,623.78,625.65,14125127
2025-08-11,629.415,654.44,625.9,635.22,11294200
2025-08-12,639.5,646.18,629.398,639.43,6925000
2025-08-13,650.4,661.75,644.5,660.49,6310033
2025-08-14,662.0,685.48,655.1,684.43,8395905
2025-08-15,694.2,706.79,685.8001,701.23,8224629
2025-08-18,695.02,707.75,693.5,698.05,4997259
2025-08-19,706.61,714.2661,698.55,703.21,5941004
2025-08-20,701.52,705.8,685.1503,705.44,4139402
2025-08-21,705.2,718.4,705.2,709.82,3617326
2025-08-22,715.04,719.4628,709.4301,711.68,3222726
2025-08-25,711.0,713.4999,694.23,695.33,2898115
2025-08-26,716.24,736.18,713.0952,736.03,7695621
2025-08-27,736.96,746.5899,731.55,734.17,4326154
2025-08-28,735.8,738.59,726.34,731.96,3116995
